800 .02,.09,.05,.04
801 801,.0989,.0568,.0247
802 802,.1010,.0825,.0265
803 803,.1037,.0856,.0269
804 804,.1088,.0922,.0200
805 805,.1032,.0614,.0255
806 806,.0939,.0461,.0114
807 807,.0974,.0881,.0396
808 808,.1147,.0532,.0105
809 809,.0913,.0641,.0147
810 810,.0967,.0932,.0117
811 811,.1066,.0859,.0315
812 812,.0944,.0695,.0233
813 813,.1007,.0899,.0241
814 814,.0978,.0873,.0319
815 815,.0994,.1619,.0489
816 816,.1008,.0732,.0152
817 817,.1077,.0806,.0233
818 818,.0972,.0757,.0210
819 819,.1007,.0736,.0156
820 820,.0966,.0611,.0114
821 821,.1062,.0805,.0168
822 822,.0910,.0729,.0104
823 823,.0837,.0593,.0152
824 824,.0855,.1411,.0412
825 825,.0945,.0702,.0161
826 826,.0975,.0700,.0219
827 827,.0961,.0661,.0154
828 828,.0895,.0658,.0136
829 829,.0970,.0757,.0256
830 830,.0897,.0767,.0159
831 831,.0964,.0591,.0321
832 832,.0847,.0660,.0203
833 833,.1128,.0474,.0120
834 834,.0961,.0782,.0319
835 835,.0982,.0645,.0138
836 836,.0998,.0747,.0181
837 837,.1062,.0779,.0196
838 838,.1081,.0742,.0145
839 839,.1006,.0613,.0141
840 840,.1007,.0652,.0161
841 841,.0924,.0699,.0263
843 843,.0974,.0750,.0335
844 844,.1068,.0766,.0315
845 845,.0904,.0646,.0083
846 846,.1008,.1446,.0282
847 847,.0908,.0837,.0167
848 848,.0976,.0576,.0286
849 849,.0899,.0912,.0823
850 850,.0935,.1050,.1303
851 851,.1023,.1745,.0455
852 852,.1053,.1138,.0491
853 853,.1009,.1176,.0487
854 854,.0845,.0465,.0116
856 856,.0902,.0638,.0161
857 857,.0858,.0568,.0123
858 858,.0845,.6221,.1591
859 859,.0857,.0568,.0109
860 860,.0822,.0592,.0177
861 861,.0830,.0544,.0123
862 862,.0842,.0642,.0232
863 863,.0900,.0664,.0226
864 864,.0920,.1187,.0742
865 865,.0903,.0735,.0279
866 866,.1074,.0816,.0108
867 867,.0924,.0768,.0235
868 868,.0929,.0431,.0128
869 869,.0949,.0806,.0364
870 870,.0901,.1115,.0209
871 871,.1098,.0780,.0239
872 872,.0827,.1146,.0330
873 873,.0897,.1306,.0401
874 874,.0945,.0676,.0078
875 875,.1001,.0668,.0171
876 876,.0897,.0932,.0703
877 877,.0975,.0656,.0515
878 878,.0922,.0825,.0193
879 879,.0949,.1041,.0434
881 881,.0994,.0751,.0161
882 882,.0953,.0855,.0260
885 885,.1021,.1238,.0957
886 886,.0939,.0443,.0140
887 887,.0960,.0404,.0103
888 888,.1104,.1050,.0537
889 889,.0944,.1649,.0329
890 890,.0858,.1794,.0874
891 891,.1039,.1774,.0754
892 892,.0917,.1963,.0788
893 893,.0924,.0581,.0089
894 894,.0982,.0830,.0129
895 895,.0964,.0591,.0427
898 898,.0845,.0720,.0186
899 899,.0885,.0598,.0084
999 999999,000,000,000,
1000 "END",0,0,0,0
