 1  23          0      12714     125044     750114        156
                    409861        260         38        210        198
                      3348       2005         30        217       3104
                       530          3         20    2945432        493
                       287          2         50         31          0
                         0
 1  32          0      12714     125047     750114        156
                    410565        260         38        210        198
                      3299       2005         30        233       3126
                       505          3         20    2963344        486
                       287          2         47         31          0
                         0
 1  47          0      12714     125146     750114        157
                    411857        260         41        213        198
                      3349       2005         30        217       3032
                       463          3         20    2962664        494
                       287          2         42         31          0
                         0
 1  25          0      12714     125234     750114        158
                    680435        260         76        471        453
                      2396       1739         30        359       4055
                       663          3         38    5553677        357
                       249         72         51         68          0
                         0
 1  43          0      12714     125306     750114        158
                    410596        260         38        210        198
                      3299       2005         32        227       3446
                       591          3         20    2956401        486
                       287         72         45         31          0
                         0
 1  28          0      12714     125235     750114        159
                    679564        260         76        471        453
                      2396       1739         30        360       4260
                       674          3         38    5539727        357
                       249         72         50         68          0
                         0
 1  46          0      12714     125307     750114        159
                    412021        260         41        213        200
                      3300       2005         32        227       3395
                       583          3         20    2959070        487
                       287         72         44         32          0
                         0
 1  29          0      12714     125046     750114        159
                    678752        260         76        471        455
                      2347       1739         30        375       4196
                       669          3         38    5530132        350
                       249          2         48         69          0
                         0
 1  48          0      12714     124770     750114        159
                    410700        260         41        213        198
                      3300       2005         32        227       3321
                       576          3         20    2955091        487
                       287          9         44         31          0
                         0
 1  31          0      12714     125236     750114        159
                    680050        260         76        471        455
                      2347       1739         30        359       4200
                       663          3         38    5547967        350
                       249         72         49         69          0
                         0
 1  45          0      12714     124767     750114        200
                    679456        260         76        471        453
                      2396       1739         32        370       3769
                       639          3         38    5548620        357
                       249          9         45         68          0
                         0
 1   8          0      12714     125222     750114        205
                    518473        280         12         44       1418
                       366       4419         39        210      22087
                      1224          3         35    1559870         51
                       193         72         57         68          0
                         0
 1   4          0      12714     124753     750114        207
                    377998        260         12         44         10
                       366          3         39        411      23245
                      1193          3         52    2387656         51
                         1          9         53          4          0
                         0
 1  20          0      12714     125226     750114        207
                    379059        260         12         44         10
                       366          3         37        411      24402
                      1252          3         51    2382506         51
                         1         72         53          4          0
                         0
 1  22          0      12714     125232     750114        207
                    379090        260         12         44         12
                       366          6         37        409      24173
                      1223          3         51    2377156         51
                         2         72         52          5          0
                         0
 1  27          0      12714     124755     750114        209
                    377407        260         12         44         10
                       205          3         37        411      25462
                      1271          3         51    2371642         44
                         1          9         51          4          0
                         0
 1  26          0      12714     125045     750114        209
                    381131        260         12         44         12
                       366          3         41        411      25524
                      1278          3         51    2378090         51
                         1          2         49          5          0
                         0
 1  33          0      12714     124757     750114        209
                    382577        260         12         44         12
                       366          3         41        410      25486
                      1246          3         52    2391602         51
                         1          9         49          5          0
                         0
 1  30          0      12714     124756     750114        209
                    381314        260         12         44         12
                       369          3         39        410      25513
                      1263          3         51    2380331         52
                         1          9         50          5          0
                         0
 1  24          0      12714     124754     750114        209
                    381375        260         12         44         18
                       205          3         37        410      25526
                      1297          3         51    2371506         44
                         1          9         52          8          0
                         0
 1  11          0      12714     125223     750114        211
                    532617        280         12         44       1418
                       205       4419         41        210      30343
                      1544          3         35    1585427         44
                       193         72         56         68          0
                         0
 1  14          0      12714     125224     750114        212
                    534284        280         12         44       1418
                       205       4419         39        210      30737
                      1580          3         36    1591967         44
                       193         72         55         68          0
                         0
 1   6          0      12714     125027     750114        212
                    539978        280         12         44       1418
                       205       4419         39        210      31131
                      1625          3         36    1630350         44
                       193          2         60         68          0
                         0
 1   9          0      12714     125030     750114        212
                    535516        280         12         44       1418
                       205       4419         39        209      31145
                      1615          3         36    1596593         44
                       193          2         59         68          0
                         0
 1  17          0      12714     125225     750114        213
                    536782        280         12         44       1418
                       205       4419         41        209      32348
                      1623          3         36    1593176         44
                       193         72         54         68          0
                         0
 1  40          0      12714     125465     750114        213
                    462210        280         12         51       2098
                       205       2112         53        126      43118
                      1494          3         14     511079         44
                        74         72         46         76          0
                         0
 1  12          0      12714     125040     750114        213
                    536990        280         12         44       1418
                       205       4419         39        210      32845
                      1683          3         35    1590195         44
                       193          2         57         68          0
                         0
 1  38          0      12714     125137     750114        215
                    472482        280         12         51       2098
                       205       2109         51        126      44515
                      1604          3         15     561619         44
                        73          2         45         76          0
                         0
 1  41          0      12714     125140     750114        215
                    470478        280         12         51       2100
                       205       2109         51        126      44407
                      1594          3         15     543897         44
                        73          2         44         77          0
                         0
 1   5          0      12714     125221     750114        215
                    544066        505         12         44       1418
                       202       4419         41        226      36220
                      1817          3         36    1605342         43
                       193         72         60         68          0
                         0
 1  35          0      12714     125136     750114        216
                    468659        280         12         51       2098
                       205       2109         53        125      46537
                      1682          3         14     517232         44
                        73          2         46         76          0
                         0
 1  37          0      12714     125240     750114        216
                    474307        280         12         51       2100
                       205       2109         53        126      47784
                      1675          3         14     534669         44
                        73         72         47         77          0
                         0
 1  44          0      12714     125145     750114        216
                    456161        280         12         51       2100
                       205       2109         55        136      43319
                      1641          3         12     464774         44
                        73          2         43         77          0
                         0
 1  21          0      12714     125043     750114        216
                    457039        280         12         51       2098
                       205       2109         53        126      46976
                      1772          3         12     440782         44
                        73          2         51         76          0
                         0
 1  36          0      12714     124763     750114        217
                    160042        260         12         35         10
                        16          3         56         82      13900
                      1756          3         11    1472195          7
                         1          9         48          4          0
                         0
 1  34          0      12714     125237     750114        217
                    159099        260         12         35         12
                        16          3         58         83      14043
                      1764          3         11    1447974          7
                         1         72         48          5          0
                         0
 1  42          0      12714     124766     750114        218
                    158442        260         12         35         10
                        16          3         58         83      14013
                      1741          3         11    1448145          7
                         1          9         46          4          0
                         0
 1  39          0      12714     124765     750114        218
                    159043        260         12         35         10
                        16          3         58         83      14081
                      1760          3         11    1456456          7
                         1          9         47          4          0
                         0
 1  18          0      12714     125042     750114        218
                    165705        260         12         35         10
                        16          3         58         83      14484
                      1890          3         12    1522410          7
                         1          2         54          4          0
                         0
 1  15          0      12714     125041     750114        218
                    158693        260         12         35         10
                        16          3         58         82      14635
                      1924          3         11    1442736          7
                         1          2         55          4          0
                         0
 1  13          0      12714     124750     750114        219
                   1480969        260         12         33         10
                       205          3         53        174      20350
                      2041          3        160   14591567         44
                         1          9         56          4          0
                         0
 1   7          0      12714     124744     750114        220
                   1481544        260         12         33         10
                       205          3         51        174      20647
                      2080          3        160   14593999         44
                         1          9         58          4          0
                         0
 1  19          0      12714     124752     750114        220
                   1481026        260         12         33         10
                       205          3         53        174      20418
                      1997          3        160   14590817         44
                         1          9         54          4          0
                         0
 1  10          0      12714     124747     750114        220
                   1481466        260         12         33         10
                       205          3         53        174      20645
                      2070          3        160   14592477         44
                         1          9         57          4          0
                         0
 1  16          0      12714     124751     750114        220
                   1480690        260         12         33         10
                       205          3         53        174      20496
                      2023          3        160   14589095         44
                         1          9         55          4          0
                         0
