   061573
 001001 3     3350
 001004 3    18790
 0HY4UU 3        0
 0034S  3      765
 0HG4UE 3     2675
 00606E 3       95
 00100  3       10
 0014UI 3        0
 00301] 3     5900
 008007 3      225
 00708[ 3    11390
 006DDT 3     5210
 00B062 3       20
 004C5U 3     3445
 00B06C 3      795
 007 [H 3     5010
 007D7F 3     4120
 007ANO 3     9505
 0E]45G 3      740
 0E]9FU 3       15
 00A \7 3     1725
 00RCHB 3      315
 0E]9FX 3       15
 00100G 3      240
 0IFJ5H 3       95
 00B1RX 3     2365
 00B08F 3      285
 0074OM 3     2270
 0NH640 3      455
 0HT Z7 3        5
 00403E 3      730
 007079 3       10
 0E]9FT 3      555
 0]8CHV 3      415
 00A Z8 3      500
 0 ZAXV 3       50
 1M2AWP 3        5
 00AAFE 3     5625
 0]8CXL 3      460
 0 ZB18 3      415
 00U0D1 3      655
 00A6ND 3      180
 00ABFO 3      250
 0NH63Y 3    10830
 00 05G 3        0
 0WNGMS 3        0
 09QGMR 3        0
 002H8I 3     1045
 0E]B1K 3        0
 0PQHP] 3      300
 0HX4UT 3        0
 00704E 3      305
 00 05J 3      230
 00101A 3        5
 00662] 3       30
 00604G 3      430
 00AA09 3      560
 004CIK 3     3240
 0074SX 3     4550
 0NH63[ 3      430
 0062MR 3     1530
 0NHCSP 3      515
 007D8W 3        0
 006B\E 3      495
 0NH [4 3      465
 0IB4ZA 3      145
 00R4R1 3      130
 00R0C6 3      290
 0IBBTG 3      280
 09QBAL 3     2055
 00AGP3 3     3970
 00ABGN 3     3205
 1P6BUT 3        5
 09QI4T 3        0
 006I A 3      550
 00B06A 3       35
 003 FG 3      100
 00603F 3     1075
 0069NH 3     1255
 0HX4Y8 3      115
 0]7A75 3      310
 001BBQ 3       10
 00603D 3      340
 007022 3     3650
 00RB0K 3       35
 0071U3 3    11050
 0NB63  3      105
 1TFDC2 3    15750
 007D8X 3     2165
 00RDAA 3     8100
 0IB4ZG 3      860
 0Z18SQ 3      445
 007C90 3       55
 0EL429 3        5
 00R0C9 3      195
 0WN45E 3     2475
 00AC1C 3        0
 00ADDF 3     1605
 004A2Q 3      390
 007JEW 3     1600
 0I14WB 3     7340
 0I1 E2 3      415
 00702H 3     3155
 007070 3      170
 00R4R0 3       60
 00A L] 3     1115
 03D13S 3      115
 09OC 3 3      470
 03D13P 3      185
 00909  3     8005
 0014SG 3      385
 00 05D 3       20
 00A08] 3      135
 00301\ 3     1315
 03D13O 3      440
 0IFCE9 3      430
 00AD 0 3     2655
 09M9EA 3     2065
 1K]AJJ 3     1015
 00ABGO 3     4975
 00RA08 3      155
 004DFI 3     1345
 14R X0 3     3080
 007HFO 3     1745
 001D4C 3      650
 001A0A 3     1520
 0010 U 3       35
 003BZW 3     8060
 001ARP 3       20
 004C62 3     1435
 001 \H 3      535
 0I1 ]L 3     1250
 0014SF 3        0
 0014UW 3      375
 004A1Z 3      470
 00RAW5 3      145
 09Q5IL 3      225
 00ACMP 3        0
 14R X1 3        5
 00ABWX 3        0
 0NH642 3     2590
 0IFCBP 3      285
 00R9H1 3     2380
 00603X 3      140
 00RDB9 3      290
 00B 66 3      260
 00AGMT 3     4910
 007HEN 3     6100
 006HF1 3     1820
 007JUN 3     6740
 00662\ 3     3395
 00301X 3     6260
 19JAJR 3       55
 004027 3      445
 00B LQ 3       75
 003A7J 3    19135
 1K]AJE 3     3095
 00A10U 3      315
 00U0D0 3     1055
 00R0\] 3      275
 00603Y 3       25
 007FAO 3        0
 0IB4ZM 3     1235
 0IB4ZJ 3      105
 001123 3     1135
 00A10R 3        0
 0014UJ 3        0
 0E]DF\ 3      365
 0]8GXL 3      590
 0WNHEL 3      530
 007HFZ 3     2990
 00AHJD 3      575
 004HI9 3      680
 14RJ3G 3      520
 2FGJAB 3      130
 00207Q 3       10
 00702N 3       55
 00R1RD 3      285
 0014SE 3        0
 00A05S 3      120
 0IB4ZE 3     8730
 00R0CC 3       15
 0IF4[Y 3      160
 0NH63V 3      365
 03DDA  3      240
 001AX  3       25
 00AA0  3      435
 00 05P 3        0
 00 05E 3      800
 00AF\D 3        0
 09O V2 3      740
 0IF4[V 3     3155
 03D13V 3        0
 004G0Y 3     1510
 001APS 3     4020
 00604D 3      305
 1P\DF0 3       55
 0HG4SM 3        0
 28PHPF 3      100
 00AJFM 3     3360
 0]7 G  3       35
 007ATD 3     1200
 00603U 3      395
 00702I 3      600
 0I1AUA 3    12710
 0I14XM 3        0
 1NDB M 3       90
 00109H 3      145
 006CGC 3      315
 0074TD 3     3015
 00702\ 3       50
 0I1BRK 3       10
