 004HI911  100    1 3376
 004HI921  100    1 3376
 004HI931  100    1 3376
 004I6[31  100    1 3376
 004IYC11  100    1 3376
 004IYC21  100    1 3376
 004IYC31  100    1 3376
 004JNT11  100    1 3376
 004JNT21  100    1 3376
 004JNT31  100    1 3376
 00603D11  100    1 3376
 00603D31  100    1 3376
 00603F11  100    1 3376
 00603F21  100    1 3376
 00603F31  100    1 3376
 00603J31  100    1 3376
 00603K11  100    1 3376
 00603K31  100    1 3376
 00603L11  100    1 3376
 00603L31  100    1 3376
 00603O11  100    1 3376
 00603O21  100    1 3376
 00603O31  100    1 3376
 00603U11  100    1 3376
 00603U21  100    1 3376
 00603U31  100    1 3376
 00603X11  100    1 3376
 00603X21  100    1 3376
 00603X31  100    1 3376
 00603Y11  100    1 3376
 00603Y31  100    1 3376
 00603\11  100    1 3376
 00603\31  100    1 3376
 00603]11  100    1 3376
 00603]21  100    1 3376
 00603]31  100    1 3376
 00604D11  100    1 3376
 00604D31  100    1 3376
 00604G11  100    1 3376
 00604G31  100    1 3376
 00606E11  100    1 3376
 00606E31  100    1 3376
 0062MR11  100    1 3376
 0062MR31  100    1 3376
 0064UG11  100    1 3376
 0064UG31  100    1 3376
 00662\11  100    1 3376
 00662\21  100    1 3376
 00662\31  100    1 3376
 00662]11  100    1 3376
 00662]21  100    1 3376
 00662]31  100    1 3376
 0069NH11  100    1 3376
 0069NH21  100    1 3376
 0069NH31  100    1 3376
 006A8Y11    1    1 1423
 006AWM11  100    1 3376
 006AWM21  100    1 3376
 006AWM31  100    1 3376
 006BP811  100    1 3376
 006BP831  100    1 3376
 006B\E11  100    1 3376
 006B\E31  100    1 3376
 006B\E11  100    1 3376
 006C8U11  100    1 3376
 006C8U31  100    1 3376
 006CE811  100    1 3376
 006CE831  100    1 3376
 006CGC11  100    1 3376
 006CGC31  100    1 3376
 006DDT11  100    1 3376
 006DDT21  100    1 3376
 006DDT31  100    1 3376
 006FD311  100    1 3376
 006FD331  100    1 3376
 006FD411  100    1 3376
 006FD431  100    1 3376
 006G6M11  100    1 3376
 006G6M21  100    1 3376
 006G6M31  100    1 3376
 006G9I21  100    1 3376
 006G9I31  100    1 3376
 006G9J31  100    1 3376
 006HF111  100    1 3376
 006HF121  100    1 3376
 006HF131  100    1 3376
 006HI611  100    1 3376
 006I A11  100    1 3376
 006I A21  100    1 3376
 006I A31  100    1 3376
 006ISJ31  100    1 3376
 006J [31  100    1 3376
 006J0311  100    1 3376
 006J0321  100    1 3376
 006J0331  100    1 3376
 006J3K11  100    1 3376
 006J3K21  100    1 3376
